book_id,title,authors,average_rating,text
1152,The Time Keeper,Mitch Albom,3.85,The Time Keeper by Mitch Albom
1153,"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.08,"A Dirty Job (Grim Reaper, #1) by Christopher Moore"
1154,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.24,Moneyball: The Art of Winning an Unfair Game by Michael   Lewis
1155,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,3.99,"The Amulet of Samarkand (Bartimaeus, #1) by Jonathan Stroud"
1156,I Am America (And So Can You!),"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",3.91,"I Am America (And So Can You!) by Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell"
1157,The One Minute Manager,"Kenneth H. Blanchard, Spencer Johnson",3.85,"The One Minute Manager by Kenneth H. Blanchard, Spencer Johnson"
1158,Exodus,Leon Uris,4.33,Exodus by Leon Uris
1159,Stones from the River,Ursula Hegi,4.07,Stones from the River by Ursula Hegi
1160,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,4.04,"The Big Sleep (Philip Marlowe, #1) by Raymond Chandler"
1161,Cannery Row,John Steinbeck,4.02,Cannery Row by John Steinbeck
1162,Seriously... I'm Kidding,Ellen DeGeneres,3.72,Seriously... I'm Kidding by Ellen DeGeneres
1163,"The Miserable Mill (A Series of Unfortunate Events, #4)","Lemony Snicket, Brett Helquist",3.83,"The Miserable Mill (A Series of Unfortunate Events, #4) by Lemony Snicket, Brett Helquist"
1164,The Snow Child,Eowyn Ivey,3.95,The Snow Child by Eowyn Ivey
1165,"Wait for You (Wait for You, #1)","J. Lynn, Jennifer L. Armentrout",4.19,"Wait for You (Wait for You, #1) by J. Lynn, Jennifer L. Armentrout"
1166,"The Last Straw (Diary of a Wimpy Kid, #3)",Jeff Kinney,4.11,"The Last Straw (Diary of a Wimpy Kid, #3) by Jeff Kinney"
1167,The Divine Comedy,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",4.06,"The Divine Comedy by Dante Alighieri, Allen Mandelbaum, Eugenio Montale"
1168,The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard",4.01,"The Tao of Pooh by Benjamin Hoff, Ernest H. Shepard"
1169,"Onyx (Lux, #2)",Jennifer L. Armentrout,4.33,"Onyx (Lux, #2) by Jennifer L. Armentrout"
1170,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.28,"Unravel Me (Shatter Me, #2) by Tahereh Mafi"
1171,The Birth of Venus,Sarah Dunant,3.79,The Birth of Venus by Sarah Dunant
1172,"The Opal Deception  (Artemis Fowl, #4)",Eoin Colfer,4.04,"The Opal Deception  (Artemis Fowl, #4) by Eoin Colfer"
1173,"The Girl in the Spider's Web (Millennium, #4)","David Lagercrantz, Stieg Larsson, George Goulding",3.73,"The Girl in the Spider's Web (Millennium, #4) by David Lagercrantz, Stieg Larsson, George Goulding"
1174,The Girls,Emma Cline,3.49,The Girls by Emma Cline
1175,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.18,"The Goose Girl (The Books of Bayern, #1) by Shannon Hale"
1176,Mystic River,Dennis Lehane,4.19,Mystic River by Dennis Lehane
1177,"Warm Bodies (Warm Bodies, #1)",Isaac Marion,3.93,"Warm Bodies (Warm Bodies, #1) by Isaac Marion"
1178,The Prince and the Pauper,"Mark Twain, Everett H. Emerson",3.84,"The Prince and the Pauper by Mark Twain, Everett H. Emerson"
1179,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,The Moon is a Harsh Mistress by Robert A. Heinlein
1180,The Forty Rules of Love,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",4.17,"The Forty Rules of Love by Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش"
1181,"High Five (Stephanie Plum, #5)",Janet Evanovich,4.17,"High Five (Stephanie Plum, #5) by Janet Evanovich"
1182,Joyland,Stephen King,3.9,Joyland by Stephen King
1183,"Attack on Titan, Vol. 1 (Attack on Titan, #1)","Hajime Isayama, Sheldon Drzka",4.42,"Attack on Titan, Vol. 1 (Attack on Titan, #1) by Hajime Isayama, Sheldon Drzka"
1184,Tender Is the Night,F. Scott Fitzgerald,3.83,Tender Is the Night by F. Scott Fitzgerald
1185,Cold Sassy Tree,Olive Ann Burns,3.99,Cold Sassy Tree by Olive Ann Burns
1186,The Glass Menagerie,Tennessee Williams,3.67,The Glass Menagerie by Tennessee Williams
1187,My Brilliant Friend (The Neapolitan Novels #1),"Elena Ferrante, Ann Goldstein",3.88,"My Brilliant Friend (The Neapolitan Novels #1) by Elena Ferrante, Ann Goldstein"
1188,The 4-Hour Workweek,Timothy Ferriss,3.84,The 4-Hour Workweek by Timothy Ferriss
1189,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,Robin S. Sharma,3.77,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny by Robin S. Sharma
1190,Rules of Civility,Amor Towles,3.99,Rules of Civility by Amor Towles
1191,"Ringworld (Ringworld, #1)",Larry Niven,3.96,"Ringworld (Ringworld, #1) by Larry Niven"
1192,Between Shades of Gray,Ruta Sepetys,4.36,Between Shades of Gray by Ruta Sepetys
1193,Frindle,"Andrew Clements, Brian Selznick",3.79,"Frindle by Andrew Clements, Brian Selznick"
1194,"Dog Days (Diary of a Wimpy Kid, #4)",Jeff Kinney,4.14,"Dog Days (Diary of a Wimpy Kid, #4) by Jeff Kinney"
1195,The Round House,Louise Erdrich,3.91,The Round House by Louise Erdrich
1196,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",Madeleine L'Engle,4.07,"A Wind in the Door (A Wrinkle in Time Quintet, #2) by Madeleine L'Engle"
1197,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Veronica Roth,4.18,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5) by Veronica Roth"
1198,A Little Life,Hanya Yanagihara,4.27,A Little Life by Hanya Yanagihara
1199,"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, José Marzán Jr.",4.12,"Y: The Last Man, Vol. 1: Unmanned by Brian K. Vaughan, Pia Guerra, José Marzán Jr."
1200,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,4.2,"The Alloy of Law (Mistborn, #4) by Brandon Sanderson"
1201,"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.77,"Dead Reckoning (Sookie Stackhouse, #11) by Charlaine Harris"
1202,The Accidental Tourist,"Anne Tyler, Jennifer Bassett",3.9,"The Accidental Tourist by Anne Tyler, Jennifer Bassett"
1203,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,4.34,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1) by Benjamin Alire Sáenz"
1204,The Invisible Man,H.G. Wells,3.62,The Invisible Man by H.G. Wells
1205,Hard-Boiled Wonderland and the End of the World,"Haruki Murakami, Alfred Birnbaum",4.15,"Hard-Boiled Wonderland and the End of the World by Haruki Murakami, Alfred Birnbaum"
1206,By the River Piedra I Sat Down and Wept,"Paulo Coelho, Alan R. Clarke",3.57,"By the River Piedra I Sat Down and Wept by Paulo Coelho, Alan R. Clarke"
1207,The Swiss Family Robinson  ,"Johann David Wyss, Scott McKowen, Arthur Pober",3.92,"The Swiss Family Robinson   by Johann David Wyss, Scott McKowen, Arthur Pober"
1208,Four Past Midnight ,Stephen King,3.9,Four Past Midnight  by Stephen King
1209,"The Marriage Bargain (Marriage to a Billionaire, #1)",Jennifer Probst,3.81,"The Marriage Bargain (Marriage to a Billionaire, #1) by Jennifer Probst"
1210,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.21,"Anne of Avonlea (Anne of Green Gables, #2) by L.M. Montgomery"
1211,The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",4.15,"The Little Engine That Could by Watty Piper, Doris Hauman, George Hauman"
1212,We Are All Completely Beside Ourselves,Karen Joy Fowler,3.71,We Are All Completely Beside Ourselves by Karen Joy Fowler
1213,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,3.74,"Children of the Mind (Ender's Saga, #4) by Orson Scott Card"
1214,Ulysses,James Joyce,3.74,Ulysses by James Joyce
1215,Someone Like You,Sarah Dessen,3.94,Someone Like You by Sarah Dessen
1216,Moloka'i,Alan Brennert,4.15,Moloka'i by Alan Brennert
1217,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,4.1,"The Witching Hour (Lives of the Mayfair Witches, #1) by Anne Rice"
1218,"This Present Darkness (Darkness, #1)",Frank E. Peretti,4.24,"This Present Darkness (Darkness, #1) by Frank E. Peretti"
1219,"The Coincidence of Callie & Kayden (The Coincidence, #1)",Jessica Sorensen,4.21,"The Coincidence of Callie & Kayden (The Coincidence, #1) by Jessica Sorensen"
1220,Fates and Furies,Lauren Groff,3.56,Fates and Furies by Lauren Groff
1221,Summer Sisters,Judy Blume,3.83,Summer Sisters by Judy Blume
1222,Stuart Little,"E.B. White, Garth Williams",3.88,"Stuart Little by E.B. White, Garth Williams"
1223,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,4.39,"The Foundation Trilogy (Foundation, #1-3) by Isaac Asimov"
1224,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,4.06,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory by Brian Greene"
1225,"The Austere Academy (A Series of Unfortunate Events, #5)","Lemony Snicket, Brett Helquist",3.97,"The Austere Academy (A Series of Unfortunate Events, #5) by Lemony Snicket, Brett Helquist"
1226,"Seven Up (Stephanie Plum, #7)",Janet Evanovich,4.15,"Seven Up (Stephanie Plum, #7) by Janet Evanovich"
1227,"The Awakening (Darkest Powers, #2)",Kelley Armstrong,4.16,"The Awakening (Darkest Powers, #2) by Kelley Armstrong"
1228,"Death Masks (The Dresden Files, #5)",Jim Butcher,4.32,"Death Masks (The Dresden Files, #5) by Jim Butcher"
1229,Stellaluna,Janell Cannon,4.22,Stellaluna by Janell Cannon
1230,Before They Are Hanged (The First Law #2),Joe Abercrombie,4.27,Before They Are Hanged (The First Law #2) by Joe Abercrombie
1231,Loving Frank,Nancy Horan,3.73,Loving Frank by Nancy Horan
1232,"Hard Eight (Stephanie Plum, #8)","Janet Evanovich, Lorelei King",4.17,"Hard Eight (Stephanie Plum, #8) by Janet Evanovich, Lorelei King"
1233,"The Vile Village (A Series of Unfortunate Events, #7)","Lemony Snicket, Brett Helquist",3.94,"The Vile Village (A Series of Unfortunate Events, #7) by Lemony Snicket, Brett Helquist"
1234,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.99,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities by Flora Rheta Schreiber
1235,Cosmos,Carl Sagan,4.35,Cosmos by Carl Sagan
1236,Haunted,Chuck Palahniuk,3.59,Haunted by Chuck Palahniuk
1237,The Shell Seekers,Rosamunde Pilcher,4.13,The Shell Seekers by Rosamunde Pilcher
1238,What Is the What,Dave Eggers,4.16,What Is the What by Dave Eggers
1239,Chronicle of a Death Foretold,"Gabriel García Márquez, Gregory Rabassa",3.95,"Chronicle of a Death Foretold by Gabriel García Márquez, Gregory Rabassa"
1240,"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)","Ronald Holt, Arthur Conan Doyle",4.22,"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1) by Ronald Holt, Arthur Conan Doyle"
1241,Killing Lincoln: The Shocking Assassination that Changed America Forever,"Bill O'Reilly, Martin Dugard",4.02,"Killing Lincoln: The Shocking Assassination that Changed America Forever by Bill O'Reilly, Martin Dugard"
1242,The Lowland,Jhumpa Lahiri,3.82,The Lowland by Jhumpa Lahiri
1243,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,4.2,"The Ruins of Gorlan (Ranger's Apprentice, #1) by John Flanagan"
1244,Wintergirls,Laurie Halse Anderson,3.98,Wintergirls by Laurie Halse Anderson
1245,The Brethren,John Grisham,3.71,The Brethren by John Grisham
1246,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,4.18,"Assassin's Quest (Farseer Trilogy, #3) by Robin Hobb"
1247,Rosemary's Baby,Ira Levin,3.96,Rosemary's Baby by Ira Levin
1248,"The Talisman (The Talisman, #1)","Stephen King, Peter Straub",4.12,"The Talisman (The Talisman, #1) by Stephen King, Peter Straub"
1249,"The Path of Daggers (Wheel of Time, #8)",Robert Jordan,3.9,"The Path of Daggers (Wheel of Time, #8) by Robert Jordan"
1250,The Dharma Bums,Jack Kerouac,3.94,The Dharma Bums by Jack Kerouac
1251,"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,4.21,"The Reckoning (Darkest Powers, #3) by Kelley Armstrong"
1252,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,3.97,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity by Katherine Boo"
1253,"Mary Poppins (Mary Poppins, #1)","P.L. Travers, Mary Shepard",4.05,"Mary Poppins (Mary Poppins, #1) by P.L. Travers, Mary Shepard"
1254,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,4.23,"Red Seas Under Red Skies (Gentleman Bastard, #2) by Scott Lynch"
1255,The House on Mango Street,Sandra Cisneros,3.57,The House on Mango Street by Sandra Cisneros
1256,City of Thieves,David Benioff,4.28,City of Thieves by David Benioff
1257,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,4.18,"Halfway to the Grave (Night Huntress, #1) by Jeaniene Frost"
1258,The Twits,"Roald Dahl, Quentin Blake",3.94,"The Twits by Roald Dahl, Quentin Blake"
1259,"Abhorsen (Abhorsen, #3)",Garth Nix,4.29,"Abhorsen (Abhorsen, #3) by Garth Nix"
1260,The Beach House,"James Patterson, Peter de Jonge",3.82,"The Beach House by James Patterson, Peter de Jonge"
1261,The Eyes of the Dragon,Stephen King,3.92,The Eyes of the Dragon by Stephen King
1262,Children of Dune (Dune Chronicles #3),Frank Herbert,3.9,Children of Dune (Dune Chronicles #3) by Frank Herbert
1263,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.2,"Leviathan Wakes (The Expanse, #1) by James S.A. Corey"
1264,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.6,"Queen of Shadows (Throne of Glass, #4) by Sarah J. Maas"
1265,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",Art Spiegelman,4.41,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2) by Art Spiegelman"
1266,The Snowy Day,Ezra Jack Keats,4.13,The Snowy Day by Ezra Jack Keats
1267,"To the Nines (Stephanie Plum, #9)",Janet Evanovich,4.16,"To the Nines (Stephanie Plum, #9) by Janet Evanovich"
1268,Where We Belong,Emily Giffin,3.86,Where We Belong by Emily Giffin
1269,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,4.1,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus by Richard   Preston
1270,Sputnik Sweetheart,"Haruki Murakami, Philip Gabriel",3.82,"Sputnik Sweetheart by Haruki Murakami, Philip Gabriel"
1271,The Signature of All Things,Elizabeth Gilbert,3.81,The Signature of All Things by Elizabeth Gilbert
1272,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.86,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation by Lynne Truss"
1273,"Dead Witch Walking (The Hollows, #1)",Kim Harrison,4.04,"Dead Witch Walking (The Hollows, #1) by Kim Harrison"
1274,The Night Before Christmas,"Clement C. Moore, Jan Brett",4.36,"The Night Before Christmas by Clement C. Moore, Jan Brett"
1275,"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,4.42,"An Echo in the Bone (Outlander, #7) by Diana Gabaldon"
1276,"Unearthly (Unearthly, #1)",Cynthia Hand,4.06,"Unearthly (Unearthly, #1) by Cynthia Hand"
1277,The Case for Christ,Lee Strobel,4.1,The Case for Christ by Lee Strobel
1278,"Knife of Dreams (Wheel of Time, #11)",Robert Jordan,4.12,"Knife of Dreams (Wheel of Time, #11) by Robert Jordan"
1279,Hoot,Carl Hiaasen,3.81,Hoot by Carl Hiaasen
1280,The Aeneid,"Virgil, Robert Fitzgerald",3.81,"The Aeneid by Virgil, Robert Fitzgerald"
1281,This Is How You Lose Her,Junot Díaz,3.75,This Is How You Lose Her by Junot Díaz
1282,After Dark,"Haruki Murakami, Jay Rubin",3.68,"After Dark by Haruki Murakami, Jay Rubin"
1283,Ishmael:A Novel,Daniel Quinn,3.97,Ishmael:A Novel by Daniel Quinn
1284,"It's Not Summer Without You (Summer, #2)",Jenny Han,4.14,"It's Not Summer Without You (Summer, #2) by Jenny Han"
1285,"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,4.08,"Pushing the Limits (Pushing the Limits, #1) by Katie McGarry"
1286,Quidditch Through the Ages,"Kennilworthy Whisp, J.K. Rowling",3.85,"Quidditch Through the Ages by Kennilworthy Whisp, J.K. Rowling"
1287,"Miss Nelson Is Missing! (Miss Nelson, #1)","Harry Allard, James  Marshall",4.26,"Miss Nelson Is Missing! (Miss Nelson, #1) by Harry Allard, James  Marshall"
1288,The Long Walk,"Richard Bachman, Stephen King",4.11,"The Long Walk by Richard Bachman, Stephen King"
1289,"The Ersatz Elevator (A Series of Unfortunate Events, #6)","Lemony Snicket, Brett Helquist",4.01,"The Ersatz Elevator (A Series of Unfortunate Events, #6) by Lemony Snicket, Brett Helquist"
1290,"Messenger (The Giver, #3)",Lois Lowry,3.9,"Messenger (The Giver, #3) by Lois Lowry"
1291,"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,4.3,"Lover Revealed (Black Dagger Brotherhood, #4) by J.R. Ward"
1292,'Salem's Lot,"Stephen King, Jerry N. Uelsmann",4.25,"'Salem's Lot by Stephen King, Jerry N. Uelsmann"
1293,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)","Trenton Lee Stewart, Carson Ellis",4.14,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1) by Trenton Lee Stewart, Carson Ellis"
1294,god is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.96,god is Not Great: How Religion Poisons Everything by Christopher Hitchens
1295,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Abbi Glines,4.21,"Never Too Far (Rosemary Beach, #2; Too Far, #2) by Abbi Glines"
1296,State of Fear,Michael Crichton,3.69,State of Fear by Michael Crichton
1297,The Statistical Probability of Love at First Sight,Jennifer E. Smith,3.8,The Statistical Probability of Love at First Sight by Jennifer E. Smith
1298,"The Golem's Eye (Bartimaeus, #2)",Jonathan Stroud,4.09,"The Golem's Eye (Bartimaeus, #2) by Jonathan Stroud"
1299,Still Life with Woodpecker,Tom Robbins,4.04,Still Life with Woodpecker by Tom Robbins
1300,Those Who Save Us,Jenna Blum,4.12,Those Who Save Us by Jenna Blum
1301,The Broker,John Grisham,3.77,The Broker by John Grisham
1302,"Across the Universe (Across the Universe, #1)",Beth Revis,3.78,"Across the Universe (Across the Universe, #1) by Beth Revis"
1303,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,4.03,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth by M. Scott Peck"
1304,"Blood Rites (The Dresden Files, #6)",Jim Butcher,4.33,"Blood Rites (The Dresden Files, #6) by Jim Butcher"
1305,"The Boxcar Children (The Boxcar Children, #1)","Gertrude Chandler Warner, L. Kate Deal",4.09,"The Boxcar Children (The Boxcar Children, #1) by Gertrude Chandler Warner, L. Kate Deal"
1306,The Silent Wife,A.S.A. Harrison,3.3,The Silent Wife by A.S.A. Harrison
1307,How to Be a Woman,Caitlin Moran,3.73,How to Be a Woman by Caitlin Moran
1308,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.72,"A Court of Mist and Fury (A Court of Thorns and Roses, #2) by Sarah J. Maas"
1309,Life,Keith Richards,3.84,Life by Keith Richards
1310,Unaccustomed Earth,Jhumpa Lahiri,4.11,Unaccustomed Earth by Jhumpa Lahiri
1311,The Pilot's Wife,Anita Shreve,3.5,The Pilot's Wife by Anita Shreve
1312,White Noise,Don DeLillo,3.86,White Noise by Don DeLillo
1313,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,4.42,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest by Stephen E. Ambrose"
1314,The Origin of Species,Charles Darwin,3.97,The Origin of Species by Charles Darwin
1315,Blankets,Craig Thompson,4.06,Blankets by Craig Thompson
1316,The Story of Edgar Sawtelle,David Wroblewski,3.6,The Story of Edgar Sawtelle by David Wroblewski
1317,Drowning Ruth,Christina Schwarz,3.73,Drowning Ruth by Christina Schwarz
1318,Post Office,Charles Bukowski,4.01,Post Office by Charles Bukowski
1319,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,3.97,"All the Pretty Horses (The Border Trilogy, #1) by Cormac McCarthy"
1320,"The Complete Sherlock Holmes, Vol 2","Arthur Conan Doyle, Kyle Freeman",4.46,"The Complete Sherlock Holmes, Vol 2 by Arthur Conan Doyle, Kyle Freeman"
1321,"One Piece, Volume 01: Romance Dawn (One Piece, #1)","Eiichirō Oda, Andy Nakatani",4.42,"One Piece, Volume 01: Romance Dawn (One Piece, #1) by Eiichirō Oda, Andy Nakatani"
1322,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.18,"The Last Unicorn (The Last Unicorn, #1) by Peter S. Beagle"
1323,"Magyk (Septimus Heap, #1)",Angie Sage,3.8,"Magyk (Septimus Heap, #1) by Angie Sage"
1324,Fever 1793,Laurie Halse Anderson,3.89,Fever 1793 by Laurie Halse Anderson
1325,"The Likeness (Dublin Murder Squad, #2)",Tana French,4.05,"The Likeness (Dublin Murder Squad, #2) by Tana French"
1326,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,4.07,Dead Wake: The Last Crossing of the Lusitania by Erik Larson
1327,The Jungle Book,Rudyard Kipling,3.94,The Jungle Book by Rudyard Kipling
1328,"I Am Pilgrim (Pilgrim, #1)",Terry Hayes,4.23,"I Am Pilgrim (Pilgrim, #1) by Terry Hayes"
1329,Howl and Other Poems,"Allen Ginsberg, William Carlos Williams",4.14,"Howl and Other Poems by Allen Ginsberg, William Carlos Williams"
1330,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life,Richard Carlson,3.95,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life by Richard Carlson
1331,Go the Fuck to Sleep,"Adam Mansbach, Ricardo Cortés",4.26,"Go the Fuck to Sleep by Adam Mansbach, Ricardo Cortés"
1332,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,3.96,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5) by Douglas Adams"
1333,Benjamin Franklin: An American Life,Walter Isaacson,3.96,Benjamin Franklin: An American Life by Walter Isaacson
1334,The Tiger's Wife,Téa Obreht,3.37,The Tiger's Wife by Téa Obreht
1335,"Poison Study (Study, #1)",Maria V. Snyder,4.16,"Poison Study (Study, #1) by Maria V. Snyder"
1336,"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,4.33,"Lover Unbound (Black Dagger Brotherhood, #5) by J.R. Ward"
1337,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,4.36,"Going Postal (Discworld, #33; Moist von Lipwig, #1) by Terry Pratchett"
1338,The Book of Mormon: Another Testament of Jesus Christ,"Anonymous, Joseph Smith Jr.",4.37,"The Book of Mormon: Another Testament of Jesus Christ by Anonymous, Joseph Smith Jr."
1339,The Mist,Stephen King,3.92,The Mist by Stephen King
1340,"Dead Beat (The Dresden Files, #7)",Jim Butcher,4.43,"Dead Beat (The Dresden Files, #7) by Jim Butcher"
1341,"Golden Son (Red Rising, #2)",Pierce Brown,4.46,"Golden Son (Red Rising, #2) by Pierce Brown"
1342,"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,4.47,"Night Watch (Discworld, #29; City Watch, #6) by Terry Pratchett"
1343,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,3.94,"The Light Fantastic (Discworld, #2; Rincewind #2) by Terry Pratchett"
1344,What the Dog Saw and Other Adventures,Malcolm Gladwell,3.82,What the Dog Saw and Other Adventures by Malcolm Gladwell
1345,Pretty Girls,Karin Slaughter,3.95,Pretty Girls by Karin Slaughter
1346,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,4.26,"Last Argument of Kings (The First Law, #3) by Joe Abercrombie"
1347,Revival,Stephen King,3.75,Revival by Stephen King
1348,Horton Hears a Who!,Dr. Seuss,4.16,Horton Hears a Who! by Dr. Seuss
1349,The Blind Side: Evolution of a Game,Michael   Lewis,4.16,The Blind Side: Evolution of a Game by Michael   Lewis
1350,"Lirael (Abhorsen, #2)",Garth Nix,4.29,"Lirael (Abhorsen, #2) by Garth Nix"
1351,"School's Out—Forever (Maximum Ride, #2)",James Patterson,4.16,"School's Out—Forever (Maximum Ride, #2) by James Patterson"
1352,"Black Butler, Vol. 1 (Black Butler, #1)","Yana Toboso, Tomo Kimura",4.37,"Black Butler, Vol. 1 (Black Butler, #1) by Yana Toboso, Tomo Kimura"
1353,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,4.49,"Winter (The Lunar Chronicles, #4) by Marissa Meyer"
1354,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,"Robert Louis Stevenson, Robert Mighall",3.94,"The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror by Robert Louis Stevenson, Robert Mighall"
1355,The Hunger Games Tribute Guide,Emily Seife,4.4,The Hunger Games Tribute Guide by Emily Seife
1356,"The Warded Man (Demon Cycle, #1)",Peter V. Brett,4.27,"The Warded Man (Demon Cycle, #1) by Peter V. Brett"
1357,The Pilgrim's Progress,John Bunyan,3.98,The Pilgrim's Progress by John Bunyan
1358,"One Shot (Jack Reacher, #9)",Lee Child,4.2,"One Shot (Jack Reacher, #9) by Lee Child"
1359,"The Serpent's Shadow (Kane Chronicles, #3)",Rick Riordan,4.28,"The Serpent's Shadow (Kane Chronicles, #3) by Rick Riordan"
1360,Duma Key,Stephen King,3.93,Duma Key by Stephen King
1361,The House at Riverton,Kate Morton,3.93,The House at Riverton by Kate Morton
1362,"Winter's Heart (Wheel of Time, #9)",Robert Jordan,3.92,"Winter's Heart (Wheel of Time, #9) by Robert Jordan"
1363,"Proven Guilty (The Dresden Files, #8)",Jim Butcher,4.41,"Proven Guilty (The Dresden Files, #8) by Jim Butcher"
1364,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead","Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",4.17,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead by Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus"
